word,word_normalized,num_raw_variants
ə́rðɔ́,áɾðɔ́,2
árðɔ́,áɾðɔ́,2
árðɛ̀,áɾðɛ̀,2
ádðɛ́,áɾðɛ̀,2
áɾɔ́,áɾɔ́,1
àrlànd̪ɔ́,áɾ̀làndɔ́,1
ǎl,âl,3
àl,âl,3
ál,âl,3
ânlí,ân,1
âvlɛ̀ðɛ̌ɲárɛ́,âvlɛ̀ðɛ̌ɲárɛ́,1
âɾù,âɾò,1
bàcʊ́mɛ́,bàcʊ́mɛ́,2
bàcʊ́mŋó,bàcʊ́mɛ́,2
bàcúm,bàcʊ̂m,5
bàcʊ̂m,bàcʊ̂m,5
bàcʊ́m,bàcʊ̂m,5
bàcʊ̂ḿ,bàcʊ̂m,5
bàcùm,bàcʊ̂m,5
bácómɛ́,bácʊ́mɛ́,3
bâcòmɛ̀,bácʊ́mɛ́,3
bácómɛ̀,bácʊ́mɛ́,3
bácʊ̂m,bácʊ̂m,8
bácóm,bácʊ̂m,8
bácómâ,bácʊ̂m,8
bâcòm,bácʊ̂m,8
bácʊ́m,bácʊ̂m,8
bácóm̀,bácʊ̂m,8
bacʊm,bácʊ̂m,8
bácúm,bácʊ̂m,8
bə̀ɽɔ́,bìɽɔ́,1
bɽɔ́,bíɽɔ́,2
bə́ɽɔ́,bíɽɔ́,2
bùlà,bùlá,1
bùlìjɔ́,bùlìjɔ́,1
t̪ʊ́lì,búlì,1
búlíjí,búlíjí,1
bʊ́lʊ́,búlú,2
bʊ́lʊ̀,búlú,2
bɔ̀lá,bɔ̀lá,2
bɔ̀là,bɔ̀lá,2
kɔ̀lìt̪ɔ́,bɔ̀lìt̪ɔ́,1
bɔ́lɔ́,bɔ́lú,2
bɔ́lɔ̀,bɔ́lú,2
càt̪à,càt̪á,3
càt̪á,càt̪á,3
càtà,càt̪á,3
cátá,cát̪á,2
cátà,cát̪á,2
cúcù,cúcù,4
cùbò,cúcù,4
cùcú,cúcù,4
cùcù,cúcù,4
cùmú,cʊ̀mú,4
cʊ̀mú,cʊ̀mú,4
cùbó,cʊ̀mú,4
cʊ̀mù,cʊ̀mú,4
